CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
AMD EPYC 74F3 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),512 MiB (16 instances),powersave,2.0,1240.4,345.9,489.1,12.9,-,-,490.0,216.4,2.6,894.5,1586.2,2025-06-25T11:09:22Z,2025-07-03T08:22:49Z
AMD EPYC 7742 64-Core Processor,0.0,0-127,2.0,64.0,1.0,128.0,2.0,512K,16384K,performance,3.0,2614.3,44.1,76.3,20.4,-,-,-,-,-,2552.5,2699.6,2024-04-21T21:49:24Z,2024-07-17T10:19:37Z
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,256K,30720K,powersave,3.0,386.1,5.6,9.7,16.1,-,-,-,-,-,378.2,396.9,2023-12-12T15:01:27Z,2024-03-24T21:50:07Z
AMD EPYC 7F72 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),384 MiB (24 instances),powersave,3.0,1670.6,129.4,224.1,17.4,-,-,547.4,155.6,3.2,1475.8,1915.5,2025-06-23T08:27:48Z,2025-06-27T11:53:18Z
Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,8 MiB (8 instances),33 MiB (2 instances),,3.0,243.1,1.5,2.6,15.2,-,-,-,-,-,240.8,246.0,2025-05-02T14:57:26Z,2025-08-04T23:55:33Z
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),,3.0,582.0,119.5,207.0,12.1,-,-,-,-,-,448.8,820.4,2025-04-09T11:54:44Z,2025-09-19T03:41:03Z
AMD EPYC 7742 64-Core Processor,0.0,0-127,2.0,64.0,1.0,128.0,2.0,512K,16384K,conservative,3.0,2435.8,65.4,113.3,19.0,-,-,-,-,-,2344.4,2562.6,2023-12-12T07:37:14Z,2023-12-16T11:55:36Z
Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,8 MiB (8 instances),33 MiB (2 instances),not_available,3.0,271.1,37.0,64.0,16.9,-,-,-,-,-,225.7,344.3,2024-10-19T13:36:38Z,2024-10-30T22:33:19Z
AMD EPYC 74F3 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,512K,32768K,ondemand,3.0,2027.9,266.6,461.8,21.1,-,-,-,-,-,1714.5,2558.2,2023-07-14T04:07:23Z,2023-08-14T22:10:28Z
QEMU Virtual CPU version 2.5+,0.0,0-23,2.0,12.0,1.0,24.0,1.0,96 MiB (24 instances),32 MiB (2 instances),not_available,3.0,363.3,9.4,16.2,15.1,-,-,-,-,-,344.8,374.9,2024-09-05T08:41:21Z,2024-12-16T08:47:33Z
AMD Opteron(TM) Processor 6274,1.0,0-31,2.0,8.0,2.0,32.0,4.0,2048K,6144K,conservative,3.0,169.7,4.7,8.1,5.3,-,-,-,-,-,160.5,174.9,2023-07-14T03:31:56Z,2023-07-16T08:16:56Z
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,5 MiB (20 instances),50 MiB (2 instances),performance,3.0,374.5,6.0,10.4,9.4,-,-,-,-,-,362.5,381.0,2024-11-10T09:59:09Z,2025-02-24T15:33:49Z
AMD EPYC 7H12 64-Core Processor,1.0,0-255,2.0,64.0,2.0,256.0,8.0,64 MiB (128 instances),512 MiB (32 instances),performance,3.0,3384.2,109.8,190.2,13.2,-,-,-,-,-,3212.6,3588.7,2025-10-30T16:00:41Z,2025-10-30T21:16:44Z
AMD EPYC 7443 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (8 instances),powersave,3.0,1115.8,96.7,167.5,11.6,-,-,450.8,156.7,2.7,1009.7,1308.8,2025-06-29T08:52:02Z,2025-07-02T09:00:32Z
Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,1.0,0-95,2.0,24.0,2.0,96.0,1.0,48 MiB (48 instances),71.5 MiB (2 instances),powersave,3.0,1196.3,44.5,77.2,12.5,-,-,-,-,-,1124.8,1278.0,2025-09-18T11:27:31Z,2025-10-13T13:03:24Z
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,0.0,0-11,2.0,6.0,1.0,12.0,1.0,256K,12288K,,3.0,121.0,2.0,3.5,10.1,-,-,-,-,-,117.2,124.1,2025-06-25T15:49:05Z,2025-08-17T15:32:06Z
AMD EPYC 7402 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,24 MiB (48 instances),256 MiB (16 instances),performance,3.0,971.6,60.8,105.3,20.2,-,-,-,-,-,854.8,1059.5,2024-08-07T04:26:22Z,2024-09-02T12:08:15Z
Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz,1.0,0-7,1.0,4.0,2.0,8.0,1.0,4 MiB (4 instances),8.3 MiB (1 instance),performance,3.0,136.4,2.2,3.8,17.1,-,-,-,-,-,132.9,140.4,2024-07-25T21:12:58Z,2024-10-08T16:16:50Z
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,0.0,0-31,2.0,16.0,1.0,32.0,4.0,8 MiB (32 instances),80 MiB (4 instances),performance,3.0,478.5,13.5,23.4,15.0,-,-,-,-,-,451.8,495.4,2024-06-14T05:25:42Z,2024-06-14T14:31:48Z
Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),,3.0,444.9,53.0,91.9,9.3,-,-,-,-,-,372.1,548.1,2025-04-04T21:41:17Z,2025-10-15T03:32:27Z
AMD EPYC 7H12 64-Core Processor,1.0,0-127,1.0,64.0,2.0,128.0,1.0,32 MiB (64 instances),256 MiB (16 instances),schedutil,4.0,1673.4,122.3,244.6,13.1,-,-,-,-,-,1349.6,1885.9,2025-10-27T17:15:28Z,2025-10-29T17:44:35Z
Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,powersave,4.0,225.2,7.4,14.8,11.3,-,-,-,-,-,205.3,240.4,2023-08-15T07:48:40Z,2023-12-10T12:54:08Z
AMD EPYC 7402 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,24 MiB (48 instances),256 MiB (16 instances),not_available,4.0,1040.7,67.5,135.0,21.7,-,-,-,-,-,939.0,1237.6,2024-06-29T12:56:22Z,2024-11-28T22:42:18Z
AMD Opteron(TM) Processor 6212,1.0,0-31,4.0,4.0,2.0,32.0,8.0,32 MiB (16 instances),48 MiB (8 instances),performance,4.0,265.0,9.1,18.1,8.3,-,-,-,-,-,237.8,275.2,2024-10-21T13:34:59Z,2025-06-20T07:03:26Z
Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,powersave,4.0,260.7,1.2,2.5,16.3,-,-,-,-,-,258.6,263.6,2023-09-21T04:57:38Z,2023-10-02T07:01:19Z
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,conservative,4.0,343.6,8.4,16.9,17.2,-,-,-,-,-,320.5,361.1,2023-08-10T02:54:57Z,2023-09-20T09:02:03Z
Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,powersave,4.0,227.9,0.9,1.9,14.2,-,-,-,-,-,226.2,229.8,2023-09-28T01:43:47Z,2023-10-01T02:39:27Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0.0,0-39,2.0,20.0,1.0,40.0,2.0,40 MiB (40 instances),55 MiB (2 instances),,4.0,713.6,5.2,10.3,17.8,-,-,-,-,-,699.3,722.3,2025-07-03T21:26:21Z,2025-10-04T14:07:01Z
Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,1024K,16896K,not_available,4.0,262.7,8.1,16.3,16.4,-,-,-,-,-,241.9,276.0,2024-03-06T19:02:25Z,2024-06-05T15:24:14Z
